#{"t_start": 1771565922.632915, "env_id": "None"}
r,l,t
-1716317.2,200,5455.492445
-1605992.2,200,5462.096191
-1659189.4,200,5466.211946
-1749828.3,200,5470.343918
-639771.3,200,5474.459788
-1722770.5,200,5478.383142
-1648824.5,200,5482.499612
-1720500.4,200,5486.609722
-118629.0,200,5490.363448
-1711779.8,200,5494.531076
-129896.9,200,5498.635719
-727886.6,200,5502.604586
-679573.3,200,5506.626482
-712051.9,200,5510.673345
-1728071.6,200,5514.769764
-1672107.2,200,5518.855564
-645324.4,200,5522.781013
-2258508.5,200,5527.034009
-639097.9,200,5531.258918
-140883.4,200,5535.247693
-1675923.0,200,5539.414973
-1736635.3,200,5543.732225
-1683656.5,200,5550.375915
-1685089.5,200,5554.628075
-1672365.6,200,5558.650767
-1734102.1,200,5562.841332
-1735955.7,200,5566.941912
-975481.5,200,5571.183964
-1716931.8,200,5575.232191
-1683339.5,200,5579.366962
-1671895.9,200,5583.443002
